Column1,Column2,Column3
CONTEXT," ""ID"""," ""TEXT"""
AccessPermitInner,ARSTOTZKA,"<span style=""font-family: ko-7px, regular_short;"">아스토츠카</span>"
AccessPermitInner,Access Permit,접근 허가증
AccessPermitInner,This permit grants conditional access to the sovereign nation of Arstotzka,"<span style=""line-height: 9px; position: relative; font-family: ko-7px, regular_short;"">본 허가증은 아스토츠카 독립국에 대한 조건적 접근 허가를 제공함</span>"
AccessPermitInner,NAME,"<span style=""font-family: ko-7px, regular_short;"">성명</span>"
AccessPermitInner,NATIONALITY,"<span style=""font-family: ko-7px, regular_short;"">국적</span>"
AccessPermitInner,PURPOSE,"<span style=""font-family: ko-7px, regular_short;"">목적</span>"
AccessPermitInner,HEIGHT,"<span style=""font-family: ko-7px, regular_short;"">신장</span>"
AccessPermitInner,PHYSICAL APPEARANCE,"<span style=""font-family: ko-7px, regular_short;"">신체적 특징</span>"
AccessPermitInner,ID NUMBER,"<span style=""font-family: ko-7px, regular_short;"">번호</span>"
AccessPermitInner,DURATION,"<span style=""font-family: ko-7px, regular_short;"">체류 기간</span>"
AccessPermitInner,WEIGHT,"<span style=""font-family: ko-7px, regular_short;"">체중</span>"
AccessPermitInner,ENTER BY,"<span style=""font-family: ko-7px, regular_short;"">만료</span>"
AccessPermitInner,Keep on person,"<span style=""position: relative; line-height: 9px; font-family: ko-7px, regular_short;"">필히 지참</span>"
AccessPermitInner,Ministry of Admission,"<span style=""font-family: ko-7px, regular_short;"">입국부</span>"
AsylumGrantInner,Arstotzka,"<span style=""font-family: ko-7px, regular_short;"">아스토츠카</span>"
AsylumGrantInner,GRANT of ASYLUM,망명 허가증
AsylumGrantInner,This document grants conditional asylum status within Arstotzkan borders,"<span style=""line-height: 9px; font-family: ko-7px, regular_short;"">본 문서는 아스토츠카의 국경 내에서 조건부 망명 지위를 부여함</span>"
AsylumGrantInner,NAT,국가
AsylumGrantInner,ID#,번호
AsylumGrantInner,DOB,생일
AsylumGrantInner,HT,신장
AsylumGrantInner,WT,체중
AsylumGrantInner,Offer expires after,제공 만기일
AsylumGrantInner,Ministry of Admission,입국부
BizCardInnerFront,ENGINEERING,"<span style=""position: relative; font-family: ko-7px, regular_short;"">엔지니어링</span>"
BizCardInnerFront,Director,"<span style=""position: relative; font-family: ko-7px, regular_short;"">팀장</span>"
BizCardInnerBack,WE NEED ENGINEERS,"<span style=""position: relative; font-family: ko-7px, regular_short; top: -1px;"">기술자 모집</span>"
BizCardInnerBack,WILL BEAT .GOV PAY,"<span style=""position: relative; font-family: ko-7px, regular_short; top: -1px;"">정부 이상의 급료 제공</span>"
BizCardInnerBack,CONTACT NOW,"<span style=""position: relative; font-family: ko-7px, regular_short; top: -1px;"">지금 연락 요망</span>"
BrothelHelpInner,A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.,<span>Dari Ludum</span>라는 사내가 아스토츠카에서 나랑 여동생에게 좋은 일자리를 주기로 약속했습니다.
BrothelHelpInner,I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.,그 사람을 믿을 수 없습니다. 그 자가 내 여권을 빼앗고 강제로 사창가에서 일하게 할까 두렵습니다. 오늘 그가 입국할 겁니다.
BrothelHelpInner,Please do something.,제발 뭐라도 해주세요.
BulletinInnerDiploTut,Diplomat,외교관
BulletinInnerDiploTut,Verification Procedure,검문 절차
BulletinInnerDiploTut,Verify issuing country,"<span style=""font-family: ko-7px, regular_short; position: relative; top: -2px;"">발행 국가 확인</span>"
